Production Operator: Casting,Production Operator: Casting II,Production Operator: Charging,Production Operator Charging II,Production Operator: Saw,Production Operator: Saw II,Material Handler Level 1 Unloading,Material Handler Level 2 Loading,Material Handler Tipper,Material Handler Melter,Material Handler Front Office
Willingness to Learn: Open to learning new things,"Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth","Willingness to Learn: Seeks out learning opportunities. Seeks out new information, ideas and resources to enhance personal growth"
Communication: can communicate effectively,Communication: Can communicate persuasively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: can communicate effectively,Communication: Can communicate persuasively
"Decisiveness: Can make routine decisions, Seeks guidance and support from team members and supervisors when faced with more complex decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make moderate decisions. Considers available information, potential consequences, and organizational goals when making decisions","Decisiveness: Can make routine decisions, Seeks guidance and support from team members and supervisors when faced with more complex decisions"
Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems,Problem Analysis: Can understand problems
Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes,Embracing Change: Can cope with changes
"Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts","Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts","Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts","Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts","Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts","Preventative and First Line Reactive Maintenance on machines: perform routine checks, such as lubricating, moving parts, cleaning equipment, and tightening loose bolts",,,,,
Basic Machine Operation,Basic Machine Operation,Basic Machine Operation,Basic Machine Operation,Intermediate Machine Operation,Intermediate Machine Operation,,,,Intermediate Machine Operation,
Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,Basic use of hand tools,
Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals,Goal Oriented: Can Complete and achieve basic goals
,"Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others","Self Awarenss: Recognizes and understands personal emotions, strengths, and weaknesses, and their impact on interactions with others"
,"Basic Computer skills: data entry, using a computer and use of MS Word or Excel","Basic Computer skills: data entry, using a computer and use of MS Word or Excel","Basic Computer skills: data entry, using a computer and use of MS Word or Excel","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP","Intermediate computer skills: ability to navigate MS Office, APICS & SAP"
,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,Knowledge of basic mobile equipment inspection,
,Intermediate Troubleshooting,,,Intermediate Troubleshooting,Intermediate Troubleshooting,,,,,
,,"Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals","Basic math: include measuring dimensions, quantities accurately. Operators need to read and use measuring tools,calculate percentages for quality control, defect rates, or efficiency metrics, add, subtract, multiply, and divide fractions and decimals"
,,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,Basic Preventative maintenance on mobile equipment,
,,Payloader equipment certification,Payloader equipment certification,,,Payloader equipment certification,Payloader equipment certification,Payloader equipment certification,Payloader equipment certification,
,,Telescopic lift certification,Telescopic lift certification,,,Telescopic lift certification,Telescopic lift certification,Telescopic lift certification,,
,,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,Forklift equipment certification,
,,,,Loading/Unloading,Loading/Unloading,,,,,
,,,,,,Basic use of mobile equipment attachments,Basic use of mobile equipment attachments,Basic use of mobile equipment attachments,Basic use of mobile equipment attachments,
,,,,,,,,Operate Class 7 & 8 Tractors; ability to maneuver trailers on plant site,,
,,,,,,,,,,Shipping/Receiving Back up
